id,name,source,category
842,Dataset 842,API,operations
843,Dataset 843,API,sales
844,Dataset 844,External Feed,finance
845,Dataset 845,API,hr
846,Dataset 846,CSV Upload,hr
847,Dataset 847,CSV Upload,security
848,Dataset 848,External Feed,sales
849,Dataset 849,External Feed,sales
850,Dataset 850,API,operations
851,Dataset 851,CSV Upload,operations
852,Dataset 852,External Feed,security
853,Dataset 853,Internal DB,hr
854,Dataset 854,External Feed,security
855,Dataset 855,CSV Upload,sales
856,Dataset 856,CSV Upload,security
857,Dataset 857,API,security
858,Dataset 858,Internal DB,finance
859,Dataset 859,Internal DB,sales
860,Dataset 860,External Feed,operations
861,Dataset 861,CSV Upload,security
862,Dataset 862,External Feed,sales
863,Dataset 863,Internal DB,hr
864,Dataset 864,API,sales
865,Dataset 865,External Feed,security
866,Dataset 866,External Feed,hr
867,Dataset 867,API,sales
868,Dataset 868,External Feed,operations
869,Dataset 869,CSV Upload,finance
870,Dataset 870,API,security
871,Dataset 871,Internal DB,security
872,Dataset 872,API,security
873,Dataset 873,CSV Upload,operations
874,Dataset 874,Internal DB,finance
875,Dataset 875,API,sales
876,Dataset 876,External Feed,security
877,Dataset 877,API,security
878,Dataset 878,Internal DB,hr
879,Dataset 879,Internal DB,sales
880,Dataset 880,API,hr
881,Dataset 881,External Feed,operations
882,Dataset 882,CSV Upload,finance
883,Dataset 883,Internal DB,security
884,Dataset 884,External Feed,operations
885,Dataset 885,Internal DB,hr
886,Dataset 886,CSV Upload,finance
887,Dataset 887,CSV Upload,security
888,Dataset 888,Internal DB,sales
889,Dataset 889,External Feed,operations
890,Dataset 890,CSV Upload,finance
891,Dataset 891,External Feed,operations
892,Dataset 892,API,finance
893,Dataset 893,CSV Upload,hr
894,Dataset 894,External Feed,hr
895,Dataset 895,Internal DB,finance
896,Dataset 896,Internal DB,finance
897,Dataset 897,Internal DB,finance
898,Dataset 898,API,hr
899,Dataset 899,Internal DB,security
900,Dataset 900,API,sales
901,Dataset 901,External Feed,hr
902,Dataset 902,External Feed,operations
903,Dataset 903,CSV Upload,hr
904,Dataset 904,API,security
905,Dataset 905,API,hr
906,Dataset 906,External Feed,hr
907,Dataset 907,Internal DB,finance
908,Dataset 908,CSV Upload,operations
909,Dataset 909,Internal DB,security
910,Dataset 910,Internal DB,hr
911,Dataset 911,CSV Upload,hr
912,Dataset 912,CSV Upload,sales
913,Dataset 913,External Feed,hr
914,Dataset 914,API,operations
915,Dataset 915,Internal DB,hr
916,Dataset 916,API,operations
917,Dataset 917,API,finance
918,Dataset 918,API,operations
919,Dataset 919,Internal DB,hr
920,Dataset 920,External Feed,hr
921,Dataset 921,External Feed,finance
922,Dataset 922,API,operations
923,Dataset 923,CSV Upload,hr
924,Dataset 924,API,operations
925,Dataset 925,API,security
926,Dataset 926,API,finance
927,Dataset 927,Internal DB,security
928,Dataset 928,External Feed,finance
929,Dataset 929,Internal DB,operations
930,Dataset 930,External Feed,operations
931,Dataset 931,CSV Upload,sales
932,Dataset 932,External Feed,finance
933,Dataset 933,API,hr
934,Dataset 934,CSV Upload,finance
935,Dataset 935,API,sales
936,Dataset 936,CSV Upload,operations
937,Dataset 937,API,hr
938,Dataset 938,CSV Upload,sales
939,Dataset 939,External Feed,sales
940,Dataset 940,External Feed,finance
941,Dataset 941,CSV Upload,operations
942,Dataset 942,Internal DB,security
943,Dataset 943,Internal DB,finance
944,Dataset 944,External Feed,security
945,Dataset 945,API,hr
946,Dataset 946,External Feed,finance
947,Dataset 947,CSV Upload,sales
948,Dataset 948,API,operations
949,Dataset 949,CSV Upload,security
950,Dataset 950,CSV Upload,operations
951,Dataset 951,External Feed,hr
952,Dataset 952,API,hr
953,Dataset 953,API,security
954,Dataset 954,API,sales
955,Dataset 955,API,sales
956,Dataset 956,Internal DB,operations
957,Dataset 957,CSV Upload,operations
958,Dataset 958,Internal DB,finance
959,Dataset 959,Internal DB,operations
960,Dataset 960,API,sales
961,Dataset 961,API,finance
962,Dataset 962,CSV Upload,finance
963,Dataset 963,CSV Upload,finance
964,Dataset 964,CSV Upload,hr
965,Dataset 965,API,finance
966,Dataset 966,CSV Upload,operations
967,Dataset 967,Internal DB,hr
968,Dataset 968,External Feed,hr
969,Dataset 969,Internal DB,finance
970,Dataset 970,External Feed,sales
971,Dataset 971,External Feed,hr
972,Dataset 972,API,finance
973,Dataset 973,API,sales
974,Dataset 974,API,finance
975,Dataset 975,API,finance
976,Dataset 976,CSV Upload,finance
977,Dataset 977,External Feed,operations
978,Dataset 978,CSV Upload,hr
979,Dataset 979,Internal DB,operations
980,Dataset 980,Internal DB,sales
981,Dataset 981,API,security
982,Dataset 982,Internal DB,hr
983,Dataset 983,API,security
984,Dataset 984,API,finance
985,Dataset 985,CSV Upload,hr
986,Dataset 986,CSV Upload,sales
987,Dataset 987,Internal DB,operations
988,Dataset 988,Internal DB,sales
989,Dataset 989,Internal DB,operations
990,Dataset 990,API,finance
991,Dataset 991,Internal DB,hr
992,Dataset 992,External Feed,operations
993,Dataset 993,CSV Upload,finance
994,Dataset 994,External Feed,hr
995,Dataset 995,API,sales
996,Dataset 996,API,hr
997,Dataset 997,Internal DB,hr
998,Dataset 998,CSV Upload,operations
999,Dataset 999,Internal DB,hr
1000,Dataset 1000,Internal DB,finance
